drift,unbalance,type,alg,mean,std
sine_P(y),4,sudden,UOB,70.34231360008266,0.0
sine_P(y),4,sudden,CSMOTE,70.22444345535584,0.0
sine_P(y),4,sudden,RebalanceStream,70.21240411262262,0.0
sine_P(y),3,sudden,improved_OOB,70.38338266813015,0.0
sine_P(y),3,sudden,WEOB1,70.36151901756821,1.4210854715202004e-14
sine_P(y),3,sudden,OOB,70.26861419065791,0.0
sine_P(y),3,sudden,ESOS_ELM,65.42750282007185,0.024833199146148743
sine_P(y),3,sudden,improved_UOB,70.22524195395758,0.0
sine_P(y),3,sudden,WEOB2,70.17325246240259,0.0
sine_P(y),3,sudden,UOB,70.26861419065791,0.0
sine_P(y),3,sudden,CSMOTE,70.0928403052749,0.0
sine_P(y),3,sudden,RebalanceStream,69.6024341017642,1.4210854715202004e-14
sine_P(y),3,incremental,improved_OOB,70.38872265964355,1.4210854715202004e-14
sine_P(y),3,incremental,WEOB1,70.37432714762694,1.4210854715202004e-14
sine_P(y),3,incremental,OOB,70.28889425035447,0.0
sine_P(y),3,incremental,ESOS_ELM,65.5965815522156,0.013789752739453641
sine_P(y),3,incremental,improved_UOB,70.2409756946971,0.0
sine_P(y),3,incremental,WEOB2,70.18765409468187,0.0
sine_P(y),3,incremental,UOB,70.28889425035447,0.0
sine_P(y),3,incremental,CSMOTE,70.26799428987394,0.0
sine_P(y),3,incremental,RebalanceStream,70.12040141881099,1.4210854715202004e-14
sine_P(y),1,sudden,improved_OOB,70.14380498495623,1.4210854715202004e-14
sine_P(y),1,sudden,WEOB1,70.17449584809401,0.0
sine_P(y),1,sudden,OOB,70.10988785593635,0.0
sine_P(y),1,sudden,ESOS_ELM,65.10610815713855,0.1203545173029104
sine_P(y),1,sudden,improved_UOB,69.79024367902143,1.4210854715202004e-14
sine_P(y),1,sudden,WEOB2,69.83506268354269,0.0
sine_P(y),1,sudden,UOB,69.69341403818115,0.0
sine_P(y),1,sudden,CSMOTE,68.74831623941091,0.0
sine_P(y),1,sudden,RebalanceStream,67.74605147035535,0.0
sine_P(y),1,incremental,improved_OOB,70.18442086728555,0.0
sine_P(y),1,incremental,WEOB1,70.21376481982637,0.0
sine_P(y),1,incremental,OOB,70.14057977126849,1.4210854715202004e-14
sine_P(y),1,incremental,ESOS_ELM,65.39259454903186,0.06784995314366407
sine_P(y),1,incremental,improved_UOB,69.87343906701253,0.0
sine_P(y),1,incremental,WEOB2,69.88675660509111,1.4210854715202004e-14
sine_P(y),1,incremental,UOB,69.82625100436822,1.4210854715202004e-14
sine_P(y),1,incremental,CSMOTE,69.00886987889722,1.4210854715202004e-14
sine_P(y),1,incremental,RebalanceStream,68.46468116646568,1.4210854715202004e-14
sine_P(y),2,incremental,improved_OOB,70.35071972023249,0.0
sine_P(y),2,incremental,WEOB1,70.32899195614696,0.0
sine_P(y),2,incremental,OOB,70.36901144719772,0.0
sine_P(y),2,incremental,ESOS_ELM,65.5323445268153,0.03268453107690369
sine_P(y),2,incremental,improved_UOB,70.1151874545044,0.0
sine_P(y),2,incremental,WEOB2,70.03297150779474,0.0
sine_P(y),2,incremental,UOB,70.07760967468087,0.0
sine_P(y),2,incremental,CSMOTE,69.78482182092344,0.0
sine_P(y),2,incremental,RebalanceStream,69.06255289708803,0.0
sine_P(y),2,sudden,improved_OOB,70.3397625621727,1.4210854715202004e-14
sine_P(y),2,sudden,WEOB1,70.32683808191896,0.0
sine_P(y),2,sudden,OOB,70.36621982572902,0.0
sine_P(y),2,sudden,ESOS_ELM,65.31448389058772,0.034481837982150536
sine_P(y),2,sudden,improved_UOB,70.11266879272235,1.4210854715202004e-14
sine_P(y),2,sudden,WEOB2,70.02291155408605,0.0
sine_P(y),2,sudden,UOB,70.07535874366587,0.0
sine_P(y),2,sudden,CSMOTE,69.4841854494205,0.0
sine_P(y),2,sudden,RebalanceStream,69.06114205350137,0.0
sine_P(y_x),4,incremental,improved_OOB,68.59553342150991,0.0
sine_P(y_x),4,incremental,WEOB1,68.61008602231355,0.0
sine_P(y_x),4,incremental,OOB,68.53587496909363,1.4210854715202004e-14
sine_P(y_x),4,incremental,ESOS_ELM,64.10077588248326,0.014982172865758215
sine_P(y_x),4,incremental,improved_UOB,68.50161256117687,1.4210854715202004e-14
sine_P(y_x),4,incremental,WEOB2,58.4916038710238,0.0
sine_P(y_x),4,incremental,UOB,68.2027188094709,0.0
sine_P(y_x),4,incremental,CSMOTE,68.0480317920366,0.0
sine_P(y_x),4,incremental,RebalanceStream,68.16975250631046,0.0
sine_P(y_x),4,sudden,improved_OOB,69.93298490994212,0.0
sine_P(y_x),4,sudden,WEOB1,69.92375018538732,0.0
sine_P(y_x),4,sudden,OOB,69.7587131831034,0.0
sine_P(y_x),4,sudden,ESOS_ELM,62.855831216530646,1.9816446540310022
sine_P(y_x),4,sudden,improved_UOB,69.68243483004635,1.4210854715202004e-14
sine_P(y_x),4,sudden,WEOB2,64.08284118159713,0.0
sine_P(y_x),4,sudden,UOB,69.7587131831034,0.0
sine_P(y_x),4,sudden,CSMOTE,69.24814481438966,0.0
sine_P(y_x),4,sudden,RebalanceStream,69.74737480690206,0.0
sine_P(y_x),3,sudden,improved_OOB,69.9036260684112,0.0
sine_P(y_x),3,sudden,WEOB1,69.82091456066723,0.0
sine_P(y_x),3,sudden,OOB,69.90702219902799,0.0
sine_P(y_x),3,sudden,ESOS_ELM,63.58178709448771,1.6485346807818535
sine_P(y_x),3,sudden,improved_UOB,69.58078842405612,0.0
sine_P(y_x),3,sudden,WEOB2,63.34833617151967,0.0
sine_P(y_x),3,sudden,UOB,69.41037993845052,1.4210854715202004e-14
sine_P(y_x),3,sudden,CSMOTE,68.89597778197347,0.0
sine_P(y_x),3,sudden,RebalanceStream,69.4442038657794,0.0
sine_P(y_x),3,incremental,improved_OOB,68.66002663400113,0.0
sine_P(y_x),3,incremental,WEOB1,68.6199183437869,0.0
sine_P(y_x),3,incremental,OOB,68.53084374916634,1.4210854715202004e-14
sine_P(y_x),3,incremental,ESOS_ELM,63.534196586140375,0.019684296156122803
sine_P(y_x),3,incremental,improved_UOB,68.3604121130867,0.0
sine_P(y_x),3,incremental,WEOB2,59.146351889172266,0.0
sine_P(y_x),3,incremental,UOB,68.12843679302229,0.0
sine_P(y_x),3,incremental,CSMOTE,67.60391396198045,1.4210854715202004e-14
sine_P(y_x),3,incremental,RebalanceStream,67.95151698660496,0.0
sine_P(y_x),1,sudden,improved_OOB,69.57487656219105,1.4210854715202004e-14
