instances,drift,unbalance,type,alg,KappaT
15000,sea_P(y),1,incremental,CSMOTE,95.45999201171615
20000,sea_P(y),1,incremental,CSMOTE,95.90566984445559
25000,sea_P(y),1,incremental,CSMOTE,96.20040080160321
30000,sea_P(y),1,incremental,CSMOTE,96.26355966251508
35000,sea_P(y),1,incremental,CSMOTE,96.452760877052
40000,sea_P(y),1,incremental,CSMOTE,96.69276322392855
45000,sea_P(y),1,incremental,CSMOTE,96.85467343847458
50000,sea_P(y),1,incremental,CSMOTE,97.7576541612764
55000,sea_P(y),1,incremental,CSMOTE,97.67324228629238
60000,sea_P(y),1,incremental,CSMOTE,95.50140581068412
65000,sea_P(y),1,incremental,CSMOTE,95.28875379939213
70000,sea_P(y),1,incremental,CSMOTE,95.73426573426572
75000,sea_P(y),1,incremental,CSMOTE,95.92612710483435
80000,sea_P(y),1,incremental,CSMOTE,95.98331870061455
85000,sea_P(y),1,incremental,CSMOTE,95.9719142645972
90000,sea_P(y),1,incremental,CSMOTE,96.09448818897638
95000,sea_P(y),1,incremental,CSMOTE,96.19178082191779
100000,sea_P(y),1,incremental,CSMOTE,96.43293427803566
5000,sea_P(y),1,incremental,RebalanceStream,93.12400635930047
10000,sea_P(y),1,incremental,RebalanceStream,94.86314954383181
15000,sea_P(y),1,incremental,RebalanceStream,95.57981626947144
20000,sea_P(y),1,incremental,RebalanceStream,96.00602107375813
25000,sea_P(y),1,incremental,RebalanceStream,96.30460921843688
30000,sea_P(y),1,incremental,RebalanceStream,96.4979241998125
35000,sea_P(y),1,incremental,RebalanceStream,96.72253472620822
40000,sea_P(y),1,incremental,RebalanceStream,96.9135802469136
45000,sea_P(y),1,incremental,RebalanceStream,97.0328789093825
50000,sea_P(y),1,incremental,RebalanceStream,97.7576541612764
55000,sea_P(y),1,incremental,RebalanceStream,97.79969650986344
60000,sea_P(y),1,incremental,RebalanceStream,95.9700093720712
65000,sea_P(y),1,incremental,RebalanceStream,95.7953394123607
70000,sea_P(y),1,incremental,RebalanceStream,96.11888111888115
75000,sea_P(y),1,incremental,RebalanceStream,96.4693101575231
80000,sea_P(y),1,incremental,RebalanceStream,96.64179104477613
85000,sea_P(y),1,incremental,RebalanceStream,96.76644493717663
90000,sea_P(y),1,incremental,RebalanceStream,96.83464566929135
95000,sea_P(y),1,incremental,RebalanceStream,96.97260273972601
100000,sea_P(y),1,incremental,RebalanceStream,97.09259711702907
5000,sea_P(y),3,incremental,improved_OOB,59.83704292527822
10000,sea_P(y),3,incremental,improved_OOB,62.89170963903213
15000,sea_P(y),3,incremental,improved_OOB,64.31101051790706
20000,sea_P(y),3,incremental,improved_OOB,64.88509784244857
25000,sea_P(y),3,incremental,improved_OOB,65.63356576100023
30000,sea_P(y),3,incremental,improved_OOB,65.6936261381896
35000,sea_P(y),3,incremental,improved_OOB,66.2172865013774
40000,sea_P(y),3,incremental,improved_OOB,66.51410217805882
45000,sea_P(y),3,incremental,improved_OOB,66.85110932905641
50000,sea_P(y),3,incremental,improved_OOB,71.03448275862068
55000,sea_P(y),3,incremental,improved_OOB,72.07627118644068
60000,sea_P(y),3,incremental,improved_OOB,72.99205236091632
65000,sea_P(y),3,incremental,improved_OOB,72.99523809523811
70000,sea_P(y),3,incremental,improved_OOB,72.50239540083041
75000,sea_P(y),3,incremental,improved_OOB,73.0570880307028
80000,sea_P(y),3,incremental,improved_OOB,73.21823731400227
85000,sea_P(y),3,incremental,improved_OOB,73.35753610468363
90000,sea_P(y),3,incremental,improved_OOB,73.43553243909115
95000,sea_P(y),3,incremental,improved_OOB,73.50032880970886
100000,sea_P(y),3,incremental,improved_OOB,73.58628741243895
5000,sea_P(y),3,incremental,WEOB1,59.83306836248013
10000,sea_P(y),3,incremental,WEOB1,62.70329234430782
15000,sea_P(y),3,incremental,WEOB1,64.15923312475037
20000,sea_P(y),3,incremental,WEOB1,64.81886603110888
25000,sea_P(y),3,incremental,WEOB1,65.57425663220326
30000,sea_P(y),3,incremental,WEOB1,65.64207284413497
35000,sea_P(y),3,incremental,WEOB1,66.15645087235997
40000,sea_P(y),3,incremental,WEOB1,66.44233664558868
45000,sea_P(y),3,incremental,WEOB1,66.76779827140695
50000,sea_P(y),3,incremental,WEOB1,70.92494929006082
55000,sea_P(y),3,incremental,WEOB1,71.85805084745763
60000,sea_P(y),3,incremental,WEOB1,72.80504908835906
65000,sea_P(y),3,incremental,WEOB1,72.60714285714286
70000,sea_P(y),3,incremental,WEOB1,72.0839987224529
75000,sea_P(y),3,incremental,WEOB1,72.63252578556009
80000,sea_P(y),3,incremental,WEOB1,72.78901182754672
85000,sea_P(y),3,incremental,WEOB1,72.88997047793825
90000,sea_P(y),3,incremental,WEOB1,72.95373665480426
95000,sea_P(y),3,incremental,WEOB1,73.00053805225085
100000,sea_P(y),3,incremental,WEOB1,73.10549777117384
5000,sea_P(y),3,incremental,OOB,58.827503974562795
10000,sea_P(y),3,incremental,OOB,62.175723919079736
15000,sea_P(y),3,incremental,OOB,63.795766209559325
20000,sea_P(y),3,incremental,OOB,64.46362267937783
25000,sea_P(y),3,incremental,OOB,65.22481365712913
30000,sea_P(y),3,incremental,OOB,65.24571505088377
35000,sea_P(y),3,incremental,OOB,65.73232323232324
40000,sea_P(y),3,incremental,OOB,66.0102378801566
45000,sea_P(y),3,incremental,OOB,66.3494609284505
50000,sea_P(y),3,incremental,OOB,70.41379310344827
55000,sea_P(y),3,incremental,OOB,71.16949152542372
60000,sea_P(y),3,incremental,OOB,72.02431042543243
65000,sea_P(y),3,incremental,OOB,71.79047619047618
70000,sea_P(y),3,incremental,OOB,71.26796550622805
75000,sea_P(y),3,incremental,OOB,71.8805468937395
80000,sea_P(y),3,incremental,OOB,72.09938954597483
85000,sea_P(y),3,incremental,OOB,72.26761350035905
90000,sea_P(y),3,incremental,OOB,72.34875444839858
95000,sea_P(y),3,incremental,OOB,72.42123512883362
