drift,unbalance,type,alg,exp,gmean
sea_P(y),2,sudden,UOB,0,64.38084695858474
sea_P(y),2,sudden,UOB,1,64.32312011628036
sea_P(y),2,sudden,UOB,2,64.49919153653258
sea_P(y),2,sudden,UOB,3,64.30096542387427
sea_P(y),2,sudden,UOB,4,64.56398518379318
sea_P(y),2,sudden,UOB,5,64.27997896271947
sea_P(y),2,sudden,UOB,6,64.55965760360682
sea_P(y),2,sudden,UOB,7,64.61064057664746
sea_P(y),2,sudden,UOB,8,64.49137318298921
sea_P(y),2,sudden,UOB,9,64.49661624216463
sea_P(y),2,sudden,CSMOTE,0,64.0546331285078
sea_P(y),2,sudden,CSMOTE,1,64.0546331285078
sea_P(y),2,sudden,CSMOTE,2,64.0546331285078
sea_P(y),2,sudden,CSMOTE,3,64.0546331285078
sea_P(y),2,sudden,CSMOTE,4,64.0546331285078
sea_P(y),2,sudden,CSMOTE,5,64.0546331285078
sea_P(y),2,sudden,CSMOTE,6,64.0546331285078
sea_P(y),2,sudden,CSMOTE,7,64.0546331285078
sea_P(y),2,sudden,CSMOTE,8,64.0546331285078
sea_P(y),2,sudden,CSMOTE,9,64.0546331285078
sea_P(y),2,sudden,RebalanceStream,0,64.3061439379633
sea_P(y),2,sudden,RebalanceStream,1,64.3061439379633
sea_P(y),2,sudden,RebalanceStream,2,64.3061439379633
sea_P(y),2,sudden,RebalanceStream,3,64.3061439379633
sea_P(y),2,sudden,RebalanceStream,4,64.3061439379633
sea_P(y),2,sudden,RebalanceStream,5,64.3061439379633
sea_P(y),2,sudden,RebalanceStream,6,64.3061439379633
sea_P(y),2,sudden,RebalanceStream,7,64.3061439379633
sea_P(y),2,sudden,RebalanceStream,8,64.3061439379633
sea_P(y),2,sudden,RebalanceStream,9,64.3061439379633
sea_P(y),2,incremental,improved_OOB,0,64.6630542258866
sea_P(y),2,incremental,improved_OOB,1,64.6851357431328
sea_P(y),2,incremental,improved_OOB,2,64.66287638753474
sea_P(y),2,incremental,improved_OOB,3,64.66381312641971
sea_P(y),2,incremental,improved_OOB,4,64.67061818454556
sea_P(y),2,incremental,improved_OOB,5,64.58469118499292
sea_P(y),2,incremental,improved_OOB,6,64.65276914049272
sea_P(y),2,incremental,improved_OOB,7,64.66076334910774
sea_P(y),2,incremental,improved_OOB,8,64.7065470347585
sea_P(y),2,incremental,improved_OOB,9,64.61315451031649
sea_P(y),2,incremental,WEOB1,0,64.64782152425276
sea_P(y),2,incremental,WEOB1,1,64.63912578889168
sea_P(y),2,incremental,WEOB1,2,64.63040119371801
sea_P(y),2,incremental,WEOB1,3,64.66014319562318
sea_P(y),2,incremental,WEOB1,4,64.64364850791247
sea_P(y),2,incremental,WEOB1,5,64.5926654906447
sea_P(y),2,incremental,WEOB1,6,64.65996084730733
sea_P(y),2,incremental,WEOB1,7,64.61466654914337
sea_P(y),2,incremental,WEOB1,8,64.6624845133325
sea_P(y),2,incremental,WEOB1,9,64.60711910130604
sea_P(y),2,incremental,OOB,0,64.56456114797965
sea_P(y),2,incremental,OOB,1,64.52669983226801
