instances,drift,unbalance,type,alg,Fscore_0,Fscore_1
100000,sea_P(y),1,incremental,WEOB1,99.70934207084096,97.49448534845683
5000,sea_P(y),1,incremental,OOB,96.64292577690205,96.78977691469359
10000,sea_P(y),1,incremental,OOB,97.58734316335051,97.65761409768427
15000,sea_P(y),1,incremental,OOB,98.0671227845107,98.10451013940569
20000,sea_P(y),1,incremental,OOB,98.34006343516259,98.36179229972234
25000,sea_P(y),1,incremental,OOB,98.50523339851242,98.51791194074895
30000,sea_P(y),1,incremental,OOB,98.6230413669696,98.63886681284733
35000,sea_P(y),1,incremental,OOB,98.73454384577971,98.74200517125175
40000,sea_P(y),1,incremental,OOB,98.83860325592289,98.84338650357992
45000,sea_P(y),1,incremental,OOB,98.91171529550579,98.90157063789441
50000,sea_P(y),1,incremental,OOB,99.47350868377768,99.17096491983291
55000,sea_P(y),1,incremental,OOB,99.58335766468254,99.03501424845906
60000,sea_P(y),1,incremental,OOB,99.77976800930723,98.43915106285196
65000,sea_P(y),1,incremental,OOB,99.75988541964588,98.11376262539328
70000,sea_P(y),1,incremental,OOB,99.79395668132601,98.30879698348056
75000,sea_P(y),1,incremental,OOB,99.82770642240905,98.52710013793653
80000,sea_P(y),1,incremental,OOB,99.83700989147958,98.58075489188784
85000,sea_P(y),1,incremental,OOB,99.84471591039195,98.62759187958954
90000,sea_P(y),1,incremental,OOB,99.84775055590309,98.66015379206314
95000,sea_P(y),1,incremental,OOB,99.85475447519545,98.72658020599343
100000,sea_P(y),1,incremental,OOB,99.86105086718054,98.77656091651312
5000,sea_P(y),1,incremental,ESOS_ELM,66.23863028357411,0.0
10000,sea_P(y),1,incremental,ESOS_ELM,66.50647443598984,0.0
15000,sea_P(y),1,incremental,ESOS_ELM,74.21367443313348,49.05116659456681
20000,sea_P(y),1,incremental,ESOS_ELM,78.94717437211943,65.33724163622098
25000,sea_P(y),1,incremental,ESOS_ELM,82.01462761397468,73.3951474662284
30000,sea_P(y),1,incremental,ESOS_ELM,84.2053648226735,78.33731221727939
35000,sea_P(y),1,incremental,ESOS_ELM,85.92319457951538,81.55373517196607
40000,sea_P(y),1,incremental,ESOS_ELM,87.24199710680654,83.88329142217103
45000,sea_P(y),1,incremental,ESOS_ELM,88.36517999658668,85.53165849108075
50000,sea_P(y),1,incremental,ESOS_ELM,97.94177254786078,96.86809695130935
