drift,unbalance,type,alg,F1_0,F1_1,F1_0_std,F1_1_std
sea_P(x_y),3,incremental,WEOB1,88.82193063802455,76.62856708115206,0.0,0.0
sea_P(x_y),3,incremental,OOB,88.54647536232206,76.70020118315458,1.4210854715202004e-14,0.0
sea_P(x_y),3,incremental,ESOS_ELM,88.0553038993519,63.16245125551601,0.05273357318502889,0.12204260929417665
sea_P(x_y),3,incremental,improved_UOB,87.24141628973142,74.86270571091927,0.0,0.0
sea_P(x_y),3,incremental,WEOB2,86.25977542812134,73.09378888758565,0.0,1.4210854715202004e-14
sea_P(x_y),3,incremental,UOB,85.06904792268297,73.04614206556673,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(x_y),3,incremental,CSMOTE,88.2312856377283,75.71962458613072,0.0,1.4210854715202004e-14
sea_P(x_y),3,incremental,RebalanceStream,90.28849149558532,75.3098607817004,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(x_y),3,sudden,improved_OOB,87.42179700203653,75.21528492094617,1.4210854715202004e-14,0.0
sea_P(x_y),3,sudden,WEOB1,86.77633192587953,74.68141378287355,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(x_y),3,sudden,OOB,86.7508236886063,75.39890906104085,1.4210854715202004e-14,0.0
sea_P(x_y),3,sudden,ESOS_ELM,85.8884554043187,59.842451783498724,0.08931116244668579,0.1537797892939582
sea_P(x_y),3,sudden,improved_UOB,85.6540345258268,73.36995372535569,1.4210854715202004e-14,0.0
sea_P(x_y),3,sudden,WEOB2,85.53747439184534,72.94893796385968,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(x_y),3,sudden,UOB,84.12919227041678,72.39778990657808,1.4210854715202004e-14,0.0
sea_P(x_y),3,sudden,CSMOTE,86.66468617850663,74.45922201833909,0.0,0.0
sea_P(x_y),3,sudden,RebalanceStream,88.58078504828325,71.3874139386908,0.0,0.0
sea_P(x_y),2,sudden,improved_OOB,89.53198017371496,67.79626056799103,0.0,0.0
sea_P(x_y),2,sudden,WEOB1,88.38819078679458,66.59005022374122,0.0,1.4210854715202004e-14
sea_P(x_y),2,sudden,OOB,88.50143554480225,67.23861046385818,0.0,0.0
sea_P(x_y),2,sudden,ESOS_ELM,88.75781439264287,53.64548037497762,0.10641175824786561,0.2584999693852473
sea_P(x_y),2,sudden,improved_UOB,86.97541170805275,64.61684861236513,0.0,1.4210854715202004e-14
sea_P(x_y),2,sudden,WEOB2,86.08734665791874,62.536087796113534,0.0,0.0
sea_P(x_y),2,sudden,UOB,85.74447728159313,63.26198911037068,0.0,0.0
sea_P(x_y),2,sudden,CSMOTE,85.48884379021173,59.909887978970346,0.0,0.0
sea_P(x_y),2,sudden,RebalanceStream,91.78702895372047,65.62699805000999,0.0,0.0
sea_P(x_y),2,incremental,improved_OOB,92.13226385347471,72.65795453992452,0.0,0.0
sea_P(x_y),2,incremental,WEOB1,90.85601389618604,70.84252676473189,0.0,1.4210854715202004e-14
sea_P(x_y),2,incremental,OOB,91.09466919290408,71.34477523982818,1.4210854715202004e-14,0.0
sea_P(x_y),2,incremental,ESOS_ELM,90.9681948856103,58.549582958364326,0.14568137722180835,0.3110180292507657
sea_P(x_y),2,incremental,improved_UOB,88.38495726657126,66.95236466018187,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(x_y),2,incremental,WEOB2,87.78760182696445,66.11535718239682,1.4210854715202004e-14,0.0
sea_P(x_y),2,incremental,UOB,86.8005576309778,64.95755678642038,1.4210854715202004e-14,0.0
sea_P(x_y),2,incremental,CSMOTE,88.31988189108077,64.70318799852669,0.0,0.0
sea_P(x_y),2,incremental,RebalanceStream,93.4194923168668,71.0474029044257,0.0,0.0
sea_P(x_y),4,incremental,improved_OOB,86.4946805163114,80.0710679457773,0.0,1.4210854715202004e-14
sea_P(x_y),4,incremental,WEOB1,86.11923795215236,79.91708168662566,0.0,0.0
sea_P(x_y),4,incremental,OOB,85.50232684528312,80.30450949432307,0.0,0.0
sea_P(x_y),4,incremental,ESOS_ELM,84.18592957093031,65.33890450942147,0.09272962754260687,0.1205294914303068
sea_P(x_y),4,incremental,improved_UOB,85.53882708346961,79.42059717557939,1.4210854715202004e-14,0.0
sea_P(x_y),4,incremental,WEOB2,82.79677722683041,76.6104856500914,1.4210854715202004e-14,0.0
sea_P(x_y),4,incremental,UOB,82.40772880224202,77.93243570524069,0.0,1.4210854715202004e-14
sea_P(x_y),4,incremental,CSMOTE,86.25404312703753,79.89471242907038,0.0,0.0
sea_P(x_y),4,incremental,RebalanceStream,86.29459723899376,79.27739604728643,0.0,0.0
sea_P(x_y),4,sudden,improved_OOB,85.22002823943924,80.01496214771683,0.0,1.4210854715202004e-14
sea_P(x_y),4,sudden,WEOB1,84.87525068824155,79.88280474341482,0.0,0.0
sea_P(x_y),4,sudden,OOB,84.97807245915916,80.98949914203362,1.4210854715202004e-14,0.0
sea_P(x_y),4,sudden,ESOS_ELM,82.156665971965,63.07493147914148,0.10855951250390937,0.1355807881368199
sea_P(x_y),4,sudden,improved_UOB,84.14411648630549,79.27755558485988,0.0,0.0
sea_P(x_y),4,sudden,WEOB2,83.65649740910062,78.56716101021968,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(x_y),4,sudden,UOB,82.02297168962045,78.53179032130473,1.4210854715202004e-14,0.0
sea_P(x_y),4,sudden,CSMOTE,85.07405297603194,79.88058793603827,0.0,0.0
sea_P(x_y),4,sudden,RebalanceStream,84.81879140652168,78.68437856633656,0.0,0.0
sine_P(y),4,incremental,improved_OOB,99.24546116168509,99.02104853662226,0.0,1.4210854715202004e-14
sine_P(y),4,incremental,WEOB1,99.21334787828323,98.97904768428337,0.0,0.0
sine_P(y),4,incremental,OOB,99.15963023198368,98.90369049785559,0.0,1.4210854715202004e-14
sine_P(y),4,incremental,ESOS_ELM,92.29495692943225,80.04856651687525,0.041952983159201915,0.03599963985393891
sine_P(y),4,incremental,improved_UOB,99.03313919718275,98.76141613206924,1.4210854715202004e-14,0.0
sine_P(y),4,incremental,WEOB2,99.01466140652028,98.73628893138361,0.0,1.4210854715202004e-14
sine_P(y),4,incremental,UOB,99.15963023198368,98.90369049785559,0.0,1.4210854715202004e-14
sine_P(y),4,incremental,CSMOTE,98.73566779623847,98.44744572288502,1.4210854715202004e-14,1.4210854715202004e-14
sine_P(y),4,incremental,RebalanceStream,98.780549762768,98.48774278300013,1.4210854715202004e-14,1.4210854715202004e-14
sine_P(y),4,sudden,improved_OOB,99.17683829889833,98.966762051554,0.0,1.4210854715202004e-14
sine_P(y),4,sudden,WEOB1,99.16919105126223,98.93528712446712,0.0,0.0
sine_P(y),4,sudden,OOB,99.11569262708558,98.86326345097521,1.4210854715202004e-14,0.0
sine_P(y),4,sudden,ESOS_ELM,91.90757110734876,79.44700680952187,0.040907790634347824,0.02711799551246704
sine_P(y),4,sudden,improved_UOB,98.9969972346778,98.72096918486542,0.0,0.0
sine_P(y),4,sudden,WEOB2,98.94674865080097,98.67720066690876,0.0,0.0
sine_P(y),4,sudden,UOB,99.11569262708558,98.86326345097521,1.4210854715202004e-14,0.0
sine_P(y),4,sudden,CSMOTE,98.70281418136588,98.41591665531847,1.4210854715202004e-14,0.0
sine_P(y),4,sudden,RebalanceStream,98.76943408511713,98.47201757522853,1.4210854715202004e-14,1.4210854715202004e-14
sine_P(y),3,sudden,improved_OOB,99.24539401049228,98.7446109905766,0.0,1.4210854715202004e-14
sine_P(y),3,sudden,WEOB1,99.18174882158817,98.58297970956039,0.0,0.0
sine_P(y),3,sudden,OOB,99.13037490479982,98.60152521613193,0.0,1.4210854715202004e-14
sine_P(y),3,sudden,ESOS_ELM,93.84188876904781,79.35682898410052,0.08442044669252427,0.0549838957035993
sine_P(y),3,sudden,improved_UOB,98.76328100429905,97.98490861779064,0.0,0.0
sine_P(y),3,sudden,WEOB2,98.68433932091753,97.84106371778759,1.4210854715202004e-14,1.4210854715202004e-14
