drift,unbalance,type,alg,Time,Mem
sine_P(y),3,sudden,improved_OOB,7.2704173,557724876.8
sine_P(y),3,sudden,WEOB1,11.2516748,647655833.6
sine_P(y),3,sudden,OOB,9.675553500000001,611460710.4
sine_P(y),3,sudden,ESOS_ELM,275.08018018399997,7083309465.6
sine_P(y),3,sudden,improved_UOB,5.3929484,370468044.8
sine_P(y),3,sudden,WEOB2,19.1883582,647655833.6
sine_P(y),3,sudden,UOB,9.079265500000002,549269504.0
sine_P(y),3,sudden,RebalanceStream,16.8168917,1838893875.2
sine_P(y),3,incremental,improved_OOB,7.631755699999999,421806395.0769231
sine_P(y),3,incremental,WEOB1,11.7014419,658950144.0
sine_P(y),3,incremental,OOB,10.0167022,515216998.4
sine_P(y),3,incremental,ESOS_ELM,273.8700154113,6725993676.8
sine_P(y),3,incremental,improved_UOB,5.7071618,347827404.8
sine_P(y),3,incremental,WEOB2,19.437722299999997,658950144.0
sine_P(y),3,incremental,UOB,9.267729800000001,565956608.0
sine_P(y),3,incremental,RebalanceStream,14.5501024,1244401664.0
sine_P(y),1,sudden,improved_OOB,6.5139279000000005,560080076.8
sine_P(y),1,sudden,WEOB1,8.926542999999999,620889292.8
sine_P(y),1,sudden,OOB,8.0741876,581502156.8
sine_P(y),1,sudden,ESOS_ELM,343.71835744640003,7286066790.4
sine_P(y),1,sudden,improved_UOB,3.2915779,270514468.5714286
sine_P(y),1,sudden,WEOB2,12.860662600000001,620889292.8
sine_P(y),1,sudden,UOB,5.584660599999999,347019673.6
sine_P(y),1,sudden,RebalanceStream,16.8584065,3653526323.2
sine_P(y),1,incremental,improved_OOB,6.6444391,484561268.3636364
sine_P(y),1,incremental,WEOB1,9.527386599999998,628724531.2
sine_P(y),1,incremental,OOB,8.8279555,573449420.8
sine_P(y),1,incremental,ESOS_ELM,340.24061061660007,7058114969.6
sine_P(y),1,incremental,improved_UOB,3.6799833,300597248.0
sine_P(y),1,incremental,WEOB2,13.4167988,628724531.2
sine_P(y),1,incremental,UOB,5.954078,386681651.2
sine_P(y),1,incremental,RebalanceStream,12.8782994,1898400153.6
sine_P(y),2,incremental,improved_OOB,8.275485,542976409.6
sine_P(y),2,incremental,WEOB1,11.917431500000003,483686958.54545456
sine_P(y),2,incremental,OOB,9.0374817,529183539.2
sine_P(y),2,incremental,ESOS_ELM,308.44704053640004,7158282649.6
sine_P(y),2,incremental,improved_UOB,5.242419,307959808.0
sine_P(y),2,incremental,WEOB2,14.492486,483686958.54545456
sine_P(y),2,incremental,UOB,6.3959588,396491980.8
sine_P(y),2,incremental,RebalanceStream,13.2260233,1526111027.2
sine_P(y),2,sudden,improved_OOB,8.1322283,510195370.6666667
sine_P(y),2,sudden,WEOB1,11.739820400000001,688624844.8
sine_P(y),2,sudden,OOB,9.0470899,555896012.8
sine_P(y),2,sudden,ESOS_ELM,306.160906984,6740464435.2
sine_P(y),2,sudden,improved_UOB,5.0621043,326033408.0
sine_P(y),2,sudden,WEOB2,17.3778331,688624844.8
sine_P(y),2,sudden,UOB,6.2861323,404537344.0
sine_P(y),2,sudden,RebalanceStream,16.826304,1445029888.0
sine_P(y_x),4,incremental,improved_OOB,7.650004299999999,478141644.8
sine_P(y_x),4,incremental,WEOB1,12.8076544,600299110.4
sine_P(y_x),4,incremental,OOB,8.517862699999998,553138995.2
sine_P(y_x),4,incremental,ESOS_ELM,282.192524774,6795155046.4
sine_P(y_x),4,incremental,improved_UOB,6.2320667,354293946.1818182
sine_P(y_x),4,incremental,WEOB2,16.020709099999998,600299110.4
sine_P(y_x),4,incremental,UOB,6.928657399999999,391956070.4
sine_P(y_x),4,incremental,RebalanceStream,25.472799600000002,2797802291.2
sine_P(y_x),4,sudden,improved_OOB,7.199476,509074636.8
