instances,drift,unbalance,type,alg,Fscore_min
60000,sea_P(y),1,incremental,improved_UOB,96.89737470167063
65000,sea_P(y),1,incremental,improved_UOB,96.31875270679949
70000,sea_P(y),1,incremental,improved_UOB,96.28742514970058
75000,sea_P(y),1,incremental,improved_UOB,96.19312906220985
80000,sea_P(y),1,incremental,improved_UOB,95.97290176891228
85000,sea_P(y),1,incremental,improved_UOB,95.78580481622306
90000,sea_P(y),1,incremental,improved_UOB,95.92637704696172
95000,sea_P(y),1,incremental,improved_UOB,95.9660297239915
100000,sea_P(y),1,incremental,improved_UOB,96.0016835016835
5000,sea_P(y),1,incremental,WEOB2,96.25146427176882
10000,sea_P(y),1,incremental,WEOB2,97.08394698085421
15000,sea_P(y),1,incremental,WEOB2,97.60431749374753
20000,sea_P(y),1,incremental,WEOB2,97.92481798821257
25000,sea_P(y),1,incremental,WEOB2,98.10227092266157
30000,sea_P(y),1,incremental,WEOB2,98.2558139534884
35000,sea_P(y),1,incremental,WEOB2,98.3784397807628
40000,sea_P(y),1,incremental,WEOB2,98.50991318191996
45000,sea_P(y),1,incremental,WEOB2,98.58182870628048
50000,sea_P(y),1,incremental,WEOB2,98.97172236503856
55000,sea_P(y),1,incremental,WEOB2,98.61248761149655
60000,sea_P(y),1,incremental,WEOB2,96.513470681458
65000,sea_P(y),1,incremental,WEOB2,95.61478933791919
70000,sea_P(y),1,incremental,WEOB2,95.45589545589544
75000,sea_P(y),1,incremental,WEOB2,95.3499079189687
80000,sea_P(y),1,incremental,WEOB2,95.07829977628636
85000,sea_P(y),1,incremental,WEOB2,94.91206030150752
90000,sea_P(y),1,incremental,WEOB2,95.10001342462077
95000,sea_P(y),1,incremental,WEOB2,95.14449514449515
100000,sea_P(y),1,incremental,WEOB2,95.13874400166911
5000,sea_P(y),1,incremental,UOB,96.63668361360969
10000,sea_P(y),1,incremental,UOB,97.52928437838366
15000,sea_P(y),1,incremental,UOB,97.93685320677608
20000,sea_P(y),1,incremental,UOB,98.2483997419739
25000,sea_P(y),1,incremental,UOB,98.43215280541186
30000,sea_P(y),1,incremental,UOB,98.5596503427039
35000,sea_P(y),1,incremental,UOB,98.67349843438657
40000,sea_P(y),1,incremental,UOB,98.76598608929773
45000,sea_P(y),1,incremental,UOB,98.83534136546187
50000,sea_P(y),1,incremental,UOB,99.12461380020595
55000,sea_P(y),1,incremental,UOB,98.95505058882068
60000,sea_P(y),1,incremental,UOB,98.22006472491908
65000,sea_P(y),1,incremental,UOB,97.75033083370091
70000,sea_P(y),1,incremental,UOB,98.07162534435261
75000,sea_P(y),1,incremental,UOB,98.26314537235307
80000,sea_P(y),1,incremental,UOB,98.31558567279767
85000,sea_P(y),1,incremental,UOB,98.4308597580909
90000,sea_P(y),1,incremental,UOB,98.46497348590565
95000,sea_P(y),1,incremental,UOB,98.52780143569775
100000,sea_P(y),1,incremental,UOB,98.62121376614915
5000,sea_P(y),1,incremental,CSMOTE,96.5909090909091
10000,sea_P(y),1,incremental,CSMOTE,97.35648056815943
